iter	Logloss
0	0.6826699454
1	0.6732397461
2	0.6633457136
3	0.6540906806
4	0.64502921
5	0.636637502
6	0.6297435327
7	0.6229349495
8	0.6160433997
9	0.6088626457
10	0.6023362416
11	0.5958630183
12	0.5898251351
13	0.5842101961
14	0.5796972688
15	0.5741436066
16	0.5694159558
17	0.5645491762
18	0.5601875173
19	0.5562483057
20	0.5523362969
21	0.5486691128
22	0.5443794962
23	0.5410247197
24	0.5378647311
25	0.5345303211
26	0.5313600227
27	0.5273741935
28	0.5244194378
29	0.5213618372
30	0.518488636
31	0.5158423625
32	0.5128810576
33	0.5098315201
34	0.5075182709
35	0.5048682673
36	0.501688055
37	0.499009544
38	0.4968330438
39	0.4943940856
40	0.4927229316
41	0.4902753939
42	0.4880767723
43	0.4859487081
44	0.4836202339
45	0.4812825728
46	0.4790272674
47	0.4772547328
48	0.4755140809
49	0.4733055339
50	0.4715023927
51	0.4695858994
52	0.4680327318
53	0.4663011066
54	0.4647839427
55	0.4629669486
56	0.4613296765
57	0.4600416436
58	0.4585779518
59	0.4569885607
60	0.4554355425
61	0.4537128603
62	0.4520261842
63	0.450521989
64	0.4486596642
65	0.4473563247
66	0.4458793369
67	0.4441884363
68	0.4428241154
69	0.4415741151
70	0.4401849119
71	0.4388753685
72	0.4374575512
73	0.4363436661
74	0.435078545
75	0.4340498838
76	0.432971032
77	0.4320920138
78	0.4308788416
79	0.4298027163
80	0.428774565
81	0.4277375126
82	0.4266969302
83	0.4255697248
84	0.4246315972
85	0.4234103014
86	0.4225720029
87	0.4215418648
88	0.4204578275
89	0.4194679629
90	0.4186934612
91	0.4174930677
92	0.4164620429
93	0.4153906165
94	0.4144246544
95	0.4134622378
96	0.4124440147
97	0.4114282977
98	0.4104796791
99	0.4094512336
100	0.4088298529
101	0.407918231
102	0.4073817554
103	0.4066769796
104	0.4059252513
105	0.4050810173
106	0.4042332358
107	0.4035345564
108	0.4029622806
109	0.4020640182
110	0.4011564191
111	0.4005008239
112	0.3994808786
113	0.3987714893
114	0.3981983165
115	0.3973104328
116	0.3964922406
117	0.3958016183
118	0.3950312842
119	0.3943491069
120	0.3936418757
121	0.3930530079
122	0.3923281025
123	0.3916988124
124	0.3910217931
125	0.3903528193
126	0.3893727916
127	0.3889433765
128	0.3882559964
129	0.3875750003
130	0.3868270906
131	0.3861646677
132	0.385537985
133	0.3849354774
134	0.3841617352
135	0.3833499169
136	0.3826606595
137	0.3821865101
138	0.3815403278
139	0.3809760786
140	0.3804690841
141	0.3798817563
142	0.3792952566
143	0.3785024169
144	0.3778144974
145	0.3772084894
146	0.3765676803
147	0.375856022
148	0.3752980765
149	0.3746332678
150	0.3740337039
151	0.3734904904
152	0.3728112775
153	0.3721920145
154	0.3715936276
155	0.3710765492
156	0.3706496093
157	0.3700222607
158	0.3692956474
159	0.3688344356
160	0.3683518167
161	0.3678760843
162	0.3673110633
163	0.3668948216
164	0.3664392031
165	0.3658576901
166	0.3653561578
167	0.3649208902
168	0.3643873687
169	0.3638631997
170	0.3635703893
171	0.363005311
172	0.3625939698
173	0.3621652908
174	0.3614784738
175	0.3610054354
176	0.3604829537
177	0.3599641566
178	0.3596209139
179	0.3591217362
180	0.358534013
181	0.3580818933
182	0.3575531528
183	0.3570886136
184	0.3566191216
185	0.356092429
186	0.3557365815
187	0.3553659894
188	0.3548231659
189	0.3544267306
190	0.353756873
191	0.3533393574
192	0.3529339874
193	0.352575507
194	0.351921305
195	0.3515883747
196	0.3510935893
197	0.3506021522
198	0.3500479758
199	0.3497865663
200	0.349338129
201	0.3487701843
202	0.3482608879
203	0.3479309353
204	0.3474865936
205	0.3470864088
206	0.3467020009
207	0.3462516381
208	0.3458358335
209	0.3454176021
210	0.3450295545
211	0.3446411186
212	0.3442065849
213	0.3438113322
214	0.3433929481
215	0.3430326948
216	0.3426456185
217	0.3421940307
218	0.3418360181
219	0.3415233628
220	0.341072657
221	0.3407879736
222	0.3402217466
223	0.3400046065
224	0.3395987609
225	0.339252784
226	0.3389032539
227	0.3385597988
228	0.3381876986
229	0.3378058407
230	0.3373716714
231	0.3369098482
232	0.3365347
233	0.3360387276
234	0.3356561565
235	0.3353421891
236	0.3349741462
237	0.3347153543
238	0.3345055011
239	0.3341499983
240	0.3337242264
241	0.3331628287
242	0.3326844592
243	0.3323310359
244	0.331961115
245	0.3316354539
246	0.3311879785
247	0.3309675273
248	0.3306607281
249	0.3302595633
250	0.3298185553
251	0.3291778318
252	0.3287327788
253	0.3283333538
254	0.3278864911
255	0.3274554364
256	0.3270042156
257	0.32662419
258	0.3260838052
259	0.3258724358
260	0.3255171762
261	0.3250661015
262	0.3247762691
263	0.3244089319
264	0.3241504664
265	0.3237744651
266	0.3235157445
267	0.3231135044
268	0.322629052
269	0.3222395659
270	0.3217988573
271	0.3214825333
272	0.3209742825
273	0.3207271876
274	0.3203917771
275	0.3200182873
276	0.3197265685
277	0.3192802482
278	0.3189049973
279	0.3185057375
280	0.3182429983
281	0.3178740725
282	0.3176266254
283	0.317230523
284	0.3169595786
285	0.3166424279
286	0.3163301425
287	0.3160948187
288	0.3158767589
289	0.3155508244
290	0.3152442021
291	0.3149640801
292	0.3146807503
293	0.3142045488
294	0.3139395205
295	0.3135845206
296	0.3133194757
297	0.3130259384
298	0.3127091367
299	0.3124153976
300	0.3121034427
301	0.3119916332
302	0.3117531372
303	0.3114289503
304	0.3110967551
305	0.3108412058
306	0.3104695311
307	0.3101438633
308	0.3097964304
309	0.3096553245
310	0.3092737121
311	0.3089407822
312	0.30851407
313	0.3081195218
314	0.3078662213
315	0.3075803058
316	0.3074052079
317	0.3070784012
318	0.3067783183
