iter	Passed	Remaining
0	18	18279
1	31	15839
2	44	14931
3	57	14426
4	71	14178
5	84	14053
6	98	13939
7	111	13829
8	124	13755
9	138	13731
10	152	13669
11	164	13572
12	177	13464
13	190	13432
14	203	13390
15	216	13335
16	230	13307
17	243	13273
18	256	13253
19	270	13237
20	283	13197
21	296	13161
22	309	13132
23	322	13116
24	335	13084
25	348	13068
26	362	13048
27	374	13014
28	388	13004
29	401	12983
30	414	12955
31	427	12932
32	440	12915
33	453	12888
34	466	12860
35	480	12861
36	492	12824
37	505	12800
38	518	12775
39	531	12753
40	545	12748
41	557	12727
42	571	12721
43	585	12719
44	598	12699
45	611	12687
46	624	12661
47	637	12650
48	650	12632
49	663	12615
50	677	12598
51	689	12576
52	702	12554
53	715	12540
54	728	12522
55	741	12504
56	754	12487
57	767	12470
58	780	12453
59	793	12432
60	806	12417
61	819	12397
62	832	12387
63	845	12370
64	858	12353
65	871	12338
66	885	12325
67	898	12311
68	911	12296
69	924	12281
70	937	12261
71	950	12245
72	962	12224
73	975	12207
74	989	12201
75	1002	12188
76	1015	12171
77	1028	12153
78	1041	12139
79	1054	12126
80	1067	12111
81	1080	12097
82	1093	12083
83	1107	12076
84	1120	12057
85	1132	12038
86	1145	12026
87	1158	12010
88	1171	11994
89	1184	11973
90	1197	11958
91	1210	11949
92	1224	11946
93	1237	11932
94	1252	11928
95	1265	11919
96	1279	11910
97	1293	11901
98	1305	11885
99	1318	11868
100	1331	11849
101	1344	11833
102	1357	11818
103	1369	11802
104	1383	11791
105	1396	11777
106	1409	11763
107	1422	11747
108	1435	11732
109	1448	11720
110	1461	11705
111	1474	11688
112	1487	11680
113	1501	11666
114	1514	11655
115	1527	11640
116	1540	11626
117	1553	11608
118	1566	11595
119	1579	11586
120	1593	11572
121	1606	11559
122	1619	11544
123	1632	11529
124	1645	11515
125	1657	11500
126	1670	11486
127	1683	11469
128	1696	11455
129	1709	11439
130	1722	11426
131	1735	11412
132	1749	11404
133	1762	11388
134	1775	11374
135	1787	11358
136	1801	11345
137	1814	11331
138	1827	11318
139	1840	11304
140	1853	11292
141	1866	11278
142	1880	11269
143	1893	11257
144	1906	11240
145	1919	11226
146	1932	11212
147	1945	11200
148	1958	11185
149	1971	11172
150	1984	11158
151	1997	11144
152	2010	11128
153	2023	11116
154	2037	11110
155	2052	11102
156	2087	11207
157	2160	11515
158	2174	11504
159	2189	11496
160	2203	11481
161	2217	11472
162	2230	11455
163	2244	11440
164	2258	11428
165	2272	11417
166	2286	11404
167	2299	11389
168	2314	11379
169	2327	11366
170	2342	11357
171	2357	11347
172	2370	11332
173	2384	11321
174	2399	11310
175	2413	11298
176	2427	11286
177	2441	11276
178	2455	11263
179	2469	11249
180	2483	11236
181	2497	11224
182	2511	11213
183	2525	11200
184	2539	11186
185	2553	11175
186	2568	11164
187	2582	11152
188	2594	11135
189	2608	11118
190	2621	11105
191	2634	11088
192	2647	11070
193	2660	11052
194	2673	11038
195	2687	11026
196	2701	11013
197	2717	11005
198	2739	11026
199	2755	11023
200	2768	11004
201	2781	10986
202	2794	10969
203	2806	10951
204	2819	10933
205	2832	10917
206	2845	10900
207	2858	10883
208	2870	10864
209	2883	10847
210	2896	10832
211	2909	10815
212	2922	10797
213	2935	10783
214	2948	10763
215	2960	10745
216	2973	10729
217	2986	10712
218	2998	10694
219	3011	10677
220	3024	10661
221	3037	10643
222	3049	10626
223	3063	10611
224	3076	10596
225	3088	10577
226	3101	10560
227	3114	10544
228	3127	10528
229	3139	10511
230	3153	10497
231	3166	10482
232	3179	10465
233	3192	10449
234	3204	10432
235	3217	10417
236	3230	10401
237	3243	10384
238	3256	10367
239	3268	10350
240	3281	10335
241	3294	10319
242	3307	10304
243	3320	10289
244	3333	10273
245	3346	10258
246	3359	10241
247	3372	10225
248	3384	10208
249	3397	10193
250	3410	10177
251	3424	10165
252	3437	10150
253	3450	10134
254	3463	10119
255	3476	10104
256	3489	10088
257	3502	10074
258	3515	10059
259	3528	10043
260	3541	10028
261	3554	10013
262	3567	9996
263	3580	9981
264	3592	9964
265	3605	9948
266	3618	9934
267	3631	9919
268	3644	9903
269	3657	9888
