iter	Logloss
0	0.6877147731
1	0.6823676505
2	0.6769398238
3	0.6725431053
4	0.6671691263
5	0.6625858057
6	0.6576185282
7	0.6528503905
8	0.6484858125
9	0.6447020647
10	0.6402570701
11	0.6365389978
12	0.6322152961
13	0.6286767609
14	0.62532473
15	0.6216612907
16	0.618552693
17	0.6155044507
18	0.6125971106
19	0.6098896778
20	0.6075298201
21	0.6043265786
22	0.601387638
23	0.5989991134
24	0.5966893639
25	0.5939481164
26	0.5916845017
27	0.5892744975
28	0.586626387
29	0.5847487403
30	0.582864513
31	0.5804053122
32	0.5781617306
33	0.575931235
34	0.5735950365
35	0.5713302751
36	0.5687558935
37	0.5666645399
38	0.5645916478
39	0.5626874544
40	0.5607532428
41	0.558771457
42	0.5566598766
43	0.5546814674
44	0.5527685347
45	0.5511741228
46	0.5494387984
47	0.547462907
48	0.5457644363
49	0.5437444038
50	0.5422863835
51	0.5405468121
52	0.5391491033
53	0.5376983585
54	0.5363022566
55	0.5350332083
56	0.5334432632
57	0.5318064712
58	0.5302328003
59	0.5285412407
60	0.5271173058
61	0.5255399433
62	0.5242417392
63	0.5229824169
64	0.5211582668
65	0.519592643
66	0.5181523891
67	0.5170489678
68	0.5159413436
69	0.5148717913
70	0.5134763508
71	0.512254752
72	0.5110737595
73	0.5099876244
74	0.5088523348
75	0.5076422764
76	0.5066218122
77	0.5052144836
78	0.5038982371
79	0.5029051679
80	0.5017265545
81	0.5006547481
82	0.4993893241
83	0.4982802981
84	0.4972325262
85	0.4962186848
86	0.4948472419
87	0.4937348783
88	0.4925017754
89	0.491441469
90	0.490468245
91	0.4894200247
92	0.4882535513
93	0.4870509179
94	0.4859566605
95	0.4847916398
96	0.48355675
97	0.4822959659
98	0.4811863368
99	0.4801425263
100	0.479242987
101	0.4785033788
102	0.4774292724
103	0.4763336361
104	0.4753074438
105	0.4744602131
106	0.4735086081
107	0.4726850902
108	0.4716022835
109	0.470605186
110	0.4697119944
111	0.4687429275
112	0.4679354028
113	0.4671856271
114	0.4662989405
115	0.465400414
116	0.4645127796
117	0.463605212
118	0.4628636877
119	0.4619861377
120	0.4609677834
121	0.4601774715
122	0.4592852632
123	0.458401717
124	0.4575353523
125	0.4567818767
126	0.4559790442
127	0.4550996823
128	0.4542079562
129	0.4534425366
130	0.4525689775
131	0.4517080917
132	0.4508919343
133	0.4501710174
134	0.4495516019
135	0.4489627662
