iter	Passed	Remaining
0	71	71347
1	134	67182
2	160	53280
3	187	46634
4	207	41389
5	229	38101
6	250	35577
7	261	32426
8	283	31217
9	347	34375
10	361	32466
11	369	30405
12	379	28795
13	434	30611
14	475	31248
15	510	31378
16	536	31035
17	547	29885
18	553	28596
19	566	27771
20	575	26843
21	590	26266
22	600	25520
23	651	26513
24	691	26986
25	704	26388
26	749	27018
27	760	26408
28	780	26142
29	793	25653
30	812	25400
31	823	24896
32	842	24687
33	856	24332
34	869	23983
35	930	24917
36	978	25478
37	1008	25536
38	1048	25840
39	1057	25383
40	1074	25131
41	1088	24823
42	1097	24417
43	1112	24168
44	1125	23880
45	1144	23729
46	1154	23407
47	1162	23058
48	1171	22728
49	1182	22460
50	1192	22184
51	1200	21879
52	1208	21600
53	1215	21299
54	1222	20998
55	1229	20722
56	1247	20634
57	1257	20426
58	1268	20238
59	1280	20055
60	1295	19936
61	1301	19684
62	1315	19564
63	1324	19377
64	1342	19307
65	1378	19507
66	1388	19335
67	1406	19280
68	1419	19155
69	1429	18998
70	1443	18891
71	1454	18752
72	1464	18600
73	1485	18587
74	1495	18447
75	1521	18500
76	1579	18938
77	1627	19243
78	1639	19114
79	1667	19171
80	1697	19258
81	1705	19096
82	1715	18955
83	1726	18828
84	1735	18682
85	1745	18549
86	1774	18617
87	1820	18868
88	1848	18918
89	1872	18933
90	1881	18794
91	1889	18646
92	1900	18536
93	1909	18406
94	1918	18276
95	1936	18232
96	1943	18094
97	1957	18015
98	1968	17914
99	1977	17800
100	1987	17694
101	1997	17588
102	2007	17483
103	2013	17348
104	2021	17231
105	2029	17116
106	2037	17002
107	2048	16919
108	2053	16783
109	2091	16924
110	2126	17034
111	2143	16995
112	2155	16922
113	2169	16859
114	2178	16762
115	2188	16676
116	2195	16571
117	2205	16487
118	2214	16396
119	2226	16325
120	2237	16254
121	2250	16194
122	2271	16194
123	2289	16175
124	2305	16138
125	2319	16088
126	2334	16046
127	2345	15981
128	2359	15933
129	2379	15921
130	2391	15865
131	2402	15796
132	2414	15739
